Cyber Range Knowledge assessment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;# Correct;# Incorrect;935;960;128;581;140;234;122;386;482;395;391;189;354;612;461;723;235;392;350;309;242;611;492;773;521;120;123;552;126;479;212;230;473;190;519;895;129;501;239;294;148;423;940;420
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pretest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q1;What is a Man in the Middle Attack?;41;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
Q2;What could be the reason that the attacker deletes log files?;40;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0
Q3;Ping requests/commands are used using the ICMP protocol. What are the potential malicious actions?;36;8;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1
Q4;How does ARP Spoofing work?;26;18;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;1;0;0;1
Q5;What is the direct benefit of using a SIEM?;36;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0
Q6;What is the main task of a Security Information and Event Management (SIEM)?;31;13;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0
Q7;"What does the tag ""title"" describe in a SIEM dashboard?";35;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0
Q8;What is a plugin sid in a SIEM?;19;25;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0
Q9;What is a directive within dSIEM (a specific SIEM product)?;16;28;1;1;0;1;1;1;0;1;0;1;0;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Q10;Regarding headers of a directive and the rules:;25;19;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1
Q11;What does occurence define in a SIEM rule?;19;25;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1
Q12;What is the purpose of stages in a SIEM?;15;29;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
Q13;What is a timeout in a SIEM?;9;35;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Posttest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q1;What is a Man in the Middle Attack?;44;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Q2;What could be the reason that the attacker deletes log files?;43;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Q3;Ping requests/commands are used using the ICMP protocol. What are the potential malicious actions?;40;4;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1
Q4;How does ARP Spoofing work?;34;10;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0
Q5;What is the direct benefit of using a SIEM?;43;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Q6;What is the main task of a Security Information and Event Management (SIEM)?;40;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;0
